D0,D1,D2,D3,D4,D5,D6,D7,C0,C1,C2,R,Profit
0,0,0,0,0,0,0,0,0,0,0,0,88.0
0,0,0,0,0,0,0,0,0,0,0,1,87.4
0,0,0,0,0,0,0,0,0,0,1,0,87.4
0,0,0,0,0,0,0,0,0,0,1,1,86.80000000000001
0,0,0,0,0,0,0,0,0,1,0,0,87.4
0,0,0,0,0,0,0,0,0,1,0,1,86.80000000000001
0,0,0,0,0,0,0,0,0,1,1,0,86.8
0,0,0,0,0,0,0,0,0,1,1,1,86.2
0,0,0,0,0,0,0,0,1,0,0,0,87.4
0,0,0,0,0,0,0,0,1,0,0,1,86.80000000000001
0,0,0,0,0,0,0,0,1,0,1,0,86.8
0,0,0,0,0,0,0,0,1,0,1,1,86.2
0,0,0,0,0,0,0,0,1,1,0,0,86.8
0,0,0,0,0,0,0,0,1,1,0,1,86.2
0,0,0,0,0,0,0,0,1,1,1,0,86.2
0,0,0,0,0,0,0,0,1,1,1,1,85.60000000000001
0,0,0,0,0,0,0,1,0,0,0,0,86.0
0,0,0,0,0,0,0,1,0,0,0,1,85.4
0,0,0,0,0,0,0,1,0,0,1,0,85.4
0,0,0,0,0,0,0,1,0,0,1,1,84.80000000000001
0,0,0,0,0,0,0,1,0,1,0,0,85.4
0,0,0,0,0,0,0,1,0,1,0,1,84.80000000000001
0,0,0,0,0,0,0,1,0,1,1,0,84.8
0,0,0,0,0,0,0,1,0,1,1,1,84.2
0,0,0,0,0,0,0,1,1,0,0,0,85.4
0,0,0,0,0,0,0,1,1,0,0,1,84.80000000000001
0,0,0,0,0,0,0,1,1,0,1,0,84.8
0,0,0,0,0,0,0,1,1,0,1,1,84.2
0,0,0,0,0,0,0,1,1,1,0,0,84.8
0,0,0,0,0,0,0,1,1,1,0,1,84.2
0,0,0,0,0,0,0,1,1,1,1,0,84.2
0,0,0,0,0,0,0,1,1,1,1,1,83.60000000000001
0,0,0,0,0,0,1,0,0,0,0,0,87.0
0,0,0,0,0,0,1,0,0,0,0,1,86.4
0,0,0,0,0,0,1,0,0,0,1,0,86.4
0,0,0,0,0,0,1,0,0,0,1,1,85.80000000000001
0,0,0,0,0,0,1,0,0,1,0,0,86.4
0,0,0,0,0,0,1,0,0,1,0,1,85.80000000000001
0,0,0,0,0,0,1,0,0,1,1,0,85.8
0,0,0,0,0,0,1,0,0,1,1,1,85.2
0,0,0,0,0,0,1,0,1,0,0,0,86.4
0,0,0,0,0,0,1,0,1,0,0,1,85.80000000000001
0,0,0,0,0,0,1,0,1,0,1,0,85.8
0,0,0,0,0,0,1,0,1,0,1,1,85.2
0,0,0,0,0,0,1,0,1,1,0,0,85.8
0,0,0,0,0,0,1,0,1,1,0,1,85.2
0,0,0,0,0,0,1,0,1,1,1,0,85.2
0,0,0,0,0,0,1,0,1,1,1,1,84.60000000000001
0,0,0,0,0,0,1,1,0,0,0,0,85.0
0,0,0,0,0,0,1,1,0,0,0,1,84.4
0,0,0,0,0,0,1,1,0,0,1,0,84.4
0,0,0,0,0,0,1,1,0,0,1,1,83.80000000000001
0,0,0,0,0,0,1,1,0,1,0,0,84.4
0,0,0,0,0,0,1,1,0,1,0,1,83.80000000000001
0,0,0,0,0,0,1,1,0,1,1,0,83.8
